date,predicted_sentiment,forecast_type
2025-12-29,0.02813086069347727,prediction
2025-12-30,0.055601760287346584,prediction
2025-12-31,0.061319118895711205,prediction
2026-01-01,0.020216210955455536,prediction
2026-01-02,0.03964814599975198,prediction
2026-01-03,-0.01984146128667246,prediction
2026-01-04,0.03523641085673815,prediction
2026-01-05,-0.03818832741452979,prediction
2026-01-06,-0.020962280926905816,prediction
2026-01-07,-0.02264233619097729,prediction
2026-01-08,-0.03676994703691138,prediction
2026-01-09,-0.022633986768614597,prediction
2026-01-10,-0.04404616725121508,prediction
2026-01-11,-0.023117639360393905,prediction
