product,original_price,selling_price,category,source,rating,main_category,discount,price_range
Oye Boy's Dungaree,899.0,764.0,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",Flipkart,,Clothing,15.016685205784205,Economy
Nuride Canvas Shoes,1999.0,1349.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",Flipkart,,Footwear,32.51625812906453,Mid-Range
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",Flipkart,,Home Decor & Festive Needs,0.0,Mid-Range
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",Flipkart,,Automotive,72.86755250750107,Mid-Range
Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",Flipkart,,Tools & Hardware,39.10395824271423,Mid-Range
Vishudh Printed Women's Straight Kurta,999.0,499.0,"[""Vishudh Printed Women's Straight Kurta""]",Flipkart,,"[""Vishudh Printed Women's Straight Kurta""]",50.050050050050054,Budget
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,"[""Vishudh Printed Women's Anarkali Kurta""]",Flipkart,,"[""Vishudh Printed Women's Anarkali Kurta""]",50.02382086707956,Mid-Range
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",Flipkart,,"[""BuildTrack PIR Wireless Motion Sensor - One Swit",23.076923076923077,Premium
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",Flipkart,,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER",50.050050050050054,Premium
MASARA Solid Women's Straight Kurta,1399.0,599.0,"[""MASARA Solid Women's Straight Kurta""]",Flipkart,,"[""MASARA Solid Women's Straight Kurta""]",57.18370264474625,Economy
